property_id,location_id,page_url,property_type,location,city,province_name,latitude,longitude,baths,area,purpose,bedrooms,date_added,agency,agent,Area Type,Area Size,Area Category
237062,3325,https://www.zameen.com/Property/g_10_g_10_2_ground_floor_corner_apartment_with_green_lawn_for_sale-237062-3325-1.html,Flat,G-10,Islamabad,Islamabad Capital,33.67989,73.01264,2,4 Marla,For Sale,2,02-04-2019,,,Marla,4.0,0-5 Marla
15829916,1483,https://www.zameen.com/Property/d_h_a_dha_phase_6_400_yard_independent_6_bed_2_unit_phase_6_near_bukhari_chance_deal_must_sale_today_70000000-15829916-1483-1.html,House,DHA Defence,Karachi,Sindh,24.805045,67.064323,6,16.0 Marla,For Sale,6,05-06-2019,Parekh Estate,Noman Charakry,Marla,16.0,15-20 Marla
15829917,1482,https://www.zameen.com/Property/d_h_a_dha_phase_5_500_yard_5_bed_phase_5_near_mujahid_chance_deal_must_sale_today_75000000-15829917-1482-1.html,House,DHA Defence,Karachi,Sindh,24.810265,67.043552,5,1.0 Kanal,For Sale,5,05-06-2019,Parekh Estate,Noman Charakry,Kanal,1.0,1-5 Kanal
17052851,616,https://www.zameen.com/Property/islamabad_b_17_well_built_apartment_available_in_good_location-17052851-616-4.html,Flat,B-17,Islamabad,Islamabad Capital,33.680640000000004,72.822189,1,2.7 Marla,For Rent,1,07-03-2019,Future Estate & Builders,Rashid Hussain Baig,Marla,2.7,0-5 Marla
17052855,616,https://www.zameen.com/Property/islamabad_b_17_the_best_apartment_for_living_purpose-17052855-616-4.html,Flat,B-17,Islamabad,Islamabad Capital,33.680640000000004,72.822189,1,2.4 Marla,For Rent,1,07-03-2019,Future Estate & Builders,Rashid Hussain Baig,Marla,2.4,0-5 Marla
