,property_id,location_id,price,latitude,longitude,baths,bedrooms,Area Size
count,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0
mean,14820632.879363572,4327.958679648539,18691024.54268582,30.10851767167029,71.34555096925567,2.9928461173118026,3.1813405366896226,5.851092377107576
std,1486344.7480993045,3773.314417050925,40342043.210917845,3.79606946735102,3.0525098116318214,2.2737208775690747,2.062801152139085,6.236627287852305
min,128983.0,1.0,0.0,24.749425,66.84204,0.0,0.0,0.0
25%,14327944.75,1011.0,120000.0,24.93949575,67.129162,1.0,2.0,3.0
50%,15122750.0,3233.0,8000000.0,31.471827,73.067576,3.0,3.0,5.0
75%,15717443.0,7214.0,19800000.0,33.570792,73.165727,5.0,5.0,8.0
max,16310481.0,13795.0,1450000000.0,33.812891,74.499197,10.0,18.0,600.0
