,property_id,location_id,price,latitude,longitude,baths,bedrooms,Area Size
count,33689.0,33689.0,33689.0,33689.0,33689.0,33689.0,33689.0,33689.0
mean,15931298.025052687,4511.395529698121,21025884.421472885,29.672305417218016,71.23308126659035,3.030098845320431,3.2756389325892723,5.845593517171777
std,1695311.863795436,3762.380659445072,40784935.05001422,3.7371592556359117,3.1861494753846005,2.282444902027155,1.9322748474795428,4.281423247712323
min,86575.0,1.0,0.0,24.749425,66.84204100000001,0.0,0.0,0.0
25%,15942637.0,1410.0,2200000.0,24.937425,67.122366,1.0,2.0,3.0
50%,16498958.0,3394.0,10000000.0,31.441113,73.062601,3.0,3.0,5.0
75%,16746399.0,7260.0,23500000.0,33.527944,74.202003,5.0,5.0,8.0
max,16996929.0,13911.0,2000000000.0,73.184088,74.499198913574,13.0,18.0,300.0
