,location_id,latitude,longitude,baths,area,bedrooms,year,property_type_Farm House,property_type_Flat,property_type_House,property_type_Lower Portion,property_type_Penthouse,property_type_Room,property_type_Upper Portion,city_Faisalabad,city_Islamabad,city_Karachi,city_Lahore,city_Rawalpindi,province_name_Islamabad Capital,province_name_Punjab,province_name_Sindh,purpose_For Rent,purpose_For Sale,day_sin,day_cos,month_sin,month_cos,price
count,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0
mean,0.3242471085365585,0.5423133775909335,0.5734480602534366,7.424336350853576e-17,2.0670027340444614e-17,-6.8759478703928e-17,0.0,-4.15509733272203e-17,5.06204751194562e-18,-4.387107843686204e-17,4.9354963241469794e-17,-3.1637796949660126e-19,1.8982678169796074e-17,3.796535633959215e-17,-4.7667614070821254e-17,7.297785163054936e-17,8.4367458532427e-17,2.227300905256073e-16,-4.4292915729524174e-17,7.297785163054936e-17,7.00249905819144e-17,8.4367458532427e-17,-2.2673754480589756e-17,-1.581889847483006e-17,-0.050876125383775374,-0.050876125383775374,0.05068570410828791,0.05068570410828791,8.4367458532427e-19
std,0.2704797913353946,0.41097694434558063,0.4161046525511052,1.0000148424107052,1.0000148424107052,1.0000148424107052,0.0,1.000014842410705,1.000014842410705,1.0000148424107054,1.0000148424107052,1.0000148424107047,1.000014842410705,1.0000148424107052,1.0000148424107052,1.0000148424107052,1.0000148424107054,1.0000148424107052,1.0000148424107052,1.0000148424107052,1.0000148424107052,1.0000148424107054,1.0000148424107052,1.0000148424107052,0.6915005735987318,0.6915005735987318,0.15091218471261297,0.15091218471261297,1.0000148424107052
min,0.0,0.0,0.0,-1.3275618747220517,-0.2691565083251886,-1.6952176702864412,0.0,-0.06951309683612501,-0.5715459989273405,-1.3195883334131908,-0.20877262834635082,-0.0443057605328475,-0.05903516642024886,-0.26701465560042287,-0.2650957669649351,-0.49964747569694,-0.7624785344305144,-0.6236720038354329,-0.3084687235604909,-0.49964747569694,-0.8731469298335118,-0.7624785344305144,-0.562586157812551,-1.7775055182448904,-0.9884683243281114,-0.9884683243281114,1.2246467991473532e-16,1.2246467991473532e-16,-0.5155185047447145
25%,0.10129403306973402,0.020715853964248687,0.03660953622270924,-0.8894241873780744,-0.15734737204144325,-0.6601559949210585,0.0,-0.06951309683612501,-0.5715459989273405,-1.3195883334131908,-0.20877262834635082,-0.0443057605328475,-0.05903516642024886,-0.26701465560042287,-0.2650957669649351,-0.49964747569694,-0.7624785344305144,-0.6236720038354329,-0.3084687235604909,-0.49964747569694,-0.8731469298335118,-0.7624785344305144,-0.562586157812551,0.562586157812551,-0.7907757369376986,-0.7907757369376986,1.2246467991473532e-16,1.2246467991473532e-16,-0.4615768455354507
50%,0.24392523364485982,0.7373618425160402,0.8123849697513332,-0.013148812690119891,-0.09802007523782329,-0.14262515723836705,0.0,-0.06951309683612501,-0.5715459989273405,0.757812095392995,-0.20877262834635082,-0.0443057605328475,-0.05903516642024886,-0.26701465560042287,-0.2650957669649351,-0.49964747569694,-0.7624785344305144,-0.6236720038354329,-0.3084687235604909,-0.49964747569694,-0.8731469298335118,-0.7624785344305144,-0.562586157812551,0.562586157812551,-0.2993631229733582,-0.2993631229733582,1.2246467991473532e-16,1.2246467991473532e-16,-0.27032914470260644
75%,0.5216930265995686,0.9673112639701165,0.9611921071854588,0.8631265619978347,0.0046617846145958885,0.8924365181270157,0.0,-0.06951309683612501,-0.5715459989273405,0.757812095392995,-0.20877262834635082,-0.0443057605328475,-0.05903516642024886,-0.26701465560042287,-0.2650957669649351,-0.49964747569694,1.3115123309627168,1.60340690916097,-0.3084687235604909,-0.49964747569694,1.1452826160548673,1.3115123309627168,-0.562586157812551,0.562586157812551,0.6513724827222223,0.6513724827222223,1.2246467991473532e-16,1.2246467991473532e-16,0.060676491354239324
max,1.0,1.0,1.0,4.368228060749653,136.63998996156707,7.620337408002004,0.0,14.385778299555104,1.7496404521714235,0.757812095392995,4.789899940048722,22.57042849447574,16.93905617003568,3.745112783234121,3.7722216821827743,2.001411092100759,1.3115123309627168,1.60340690916097,3.241819749041428,2.001411092100759,1.1452826160548673,1.3115123309627168,1.7775055182448902,0.562586157812551,0.9884683243281114,0.9884683243281114,0.49999999999999994,0.49999999999999994,48.52235350367688
