,property_id,location_id,price,latitude,longitude,baths,bedrooms,Area Size
count,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0,33688.0
mean,15931412.753591783,4511.277279743529,21025321.1907801,29.6710138064788,71.23302335259328,3.0300106862977914,3.2755877463785326,5.845734386131561
std,1695206.2362776513,3762.373897475339,40785409.37661267,3.729687690901404,3.186179033156653,2.28242141978899,1.932280686670568,4.2814087195362385
min,86575.0,1.0,0.0,24.749425,66.84204100000001,0.0,0.0,0.0
25%,15942716.5,1410.0,2200000.0,24.937425,67.122366,1.0,2.0,3.0
50%,16498958.5,3394.0,10000000.0,31.4411127591555,73.062601,3.0,3.0,5.0
75%,16746399.5,7257.75,23500000.0,33.527944,74.20204075000001,5.0,5.0,8.0
max,16996929.0,13911.0,2000000000.0,33.8246,74.499198913574,13.0,18.0,300.0
